model,description,AIC,BIC,logLik,df,AICc,df_ratio,obs_per_param,delta_AIC,delta_AICc,delta_BIC,weight_AIC,weight_AICc,weight_BIC,baseline_type,model_category,overfitting_risk
M31,Interaction: wind_max_gust × sum_butterflies_direct_sun (smooth),637.0790793719577,664.8187537194972,-307.53953968597887,11,640.2219365148148,0.11458333333333333,8.727272727272727,24.552550133549857,0,0,4.632561040173127e-6,0.7992900400444659,0.816663161846879,Smooth,Interaction only,Low
M51,Additive + Interaction: wind_max_gust + sum_butterflies_direct_sun + wind_max_gust×sum_butterflies_direct_sun (smooth),638.126478028858,675.6236230838119,-304.063239014429,15,644.126478028858,0.15625,6.4,25.59994879045007,3.9045415140431032,10.804869364314754,2.743983034681891e-6,0.11346031482773626,0.003679555809988258,Smooth,Main + Interaction,Low
M45,Additive + Interaction: temp_max + sum_butterflies_direct_sun + temp_max×sum_butterflies_direct_sun (smooth),642.5154324153677,680.0125774703217,-306.25771620768387,15,648.5154324153677,0.15625,6.4,29.988903176959866,8.293495900552898,15.19382375082455,3.057257972707643e-7,0.012641384720996615,4.099643180707006e-4,Smooth,Main + Interaction,Low
M32,Interaction: wind_max_gust × sum_butterflies_direct_sun (linear),646.7559248020073,669.4520219954486,-314.37796240100363,9,648.8489480578212,0.09375,10.666666666666666,34.22939556359938,8.627011543006347,4.633268275951423,3.668773193791904e-8,0.010699725770385547,0.08052700429641402,Linear,Interaction only,Low
M19,Interaction: temp_min × sum_butterflies_direct_sun (smooth),646.1984541778986,673.9381285254381,-312.0992270889493,11,649.3413113207557,0.11458333333333333,8.727272727272727,33.67192493949074,9.119374805940879,9.119374805940879,4.848127939676911e-8,0.008364833925426774,0.008546649375842385,Smooth,Interaction only,Low
M5,Single: temp_max (smooth),646.8682018231378,672.0860875936282,-313.4341009115689,10,649.4564371172555,0.10416666666666667,9.6,34.34167258472996,9.234500602440676,7.2673338741310545,3.46848817990403e-8,0.007896926099989938,0.02157552965571499,Smooth,Single predictor,Low
M29,Interaction: temp_at_max_count_t_1 × sum_butterflies_direct_sun (smooth),646.5964954591165,674.3361698066559,-312.2982477295582,11,649.7393526019736,0.11458333333333333,8.727272727272727,34.06996622070858,9.517416087158722,9.517416087158722,3.9732007256978765e-8,0.006855257253186833,0.007004261010621199,Smooth,Interaction only,Low
M43,Additive + Interaction: temp_max + wind_max_gust + temp_max×wind_max_gust (smooth),644.1155820128413,681.6127270677953,-307.05779100642064,15,650.1155820128413,0.15625,6.4,31.589052774433412,9.893645498026444,16.793973348298096,1.3736118096449916e-7,0.005679715450262794,1.841950642903175e-4,Smooth,Main + Interaction,Low
M23,Interaction: temp_max × wind_max_gust (smooth),647.0248569195502,674.7645312670896,-312.5124284597751,11,650.1677140624073,0.11458333333333333,8.727272727272727,34.498327681142314,9.945777547592456,9.945777547592456,3.2071775029956434e-8,0.005533580696657797,0.005653856900075983,Smooth,Interaction only,Low
M33,Additive + Interaction: temp_min + temp_max + temp_min×temp_max (smooth),644.5180767683012,682.0152218232552,-307.2590383841506,15,650.5180767683012,0.15625,6.4,31.991547529893296,10.296140253486328,17.19646810375798,1.1232162821728537e-7,0.004644360820902289,1.506181687242707e-4,Smooth,Main + Interaction,Low
