total_bin,n_obs,mean_sun,median_sun,n_zero_sun,pct_zero_sun,analysis
0,43,0,0,43,100,30-minute intervals
1-10,471,1.2292993630573268,0,319,67.72823779193206,30-minute intervals
11-50,562,5.533807829181501,0,325,57.82918149466192,30-minute intervals
51-100,279,11.856630824372742,0,177,63.44086021505376,30-minute intervals
101-200,190,10.636842105263142,0,139,73.15789473684211,30-minute intervals
>200,349,3.406876790830953,0,290,83.0945558739255,30-minute intervals
0,4,1.25,1,2,50,Sunset window
1-10,16,38.5625,14,3,18.75,Sunset window
11-50,19,76.10526315789474,37,3,15.789473684210526,Sunset window
51-100,15,100.06666666666666,55,0,0,Sunset window
101-200,21,218.76190476190476,142,1,4.761904761904762,Sunset window
>200,28,196.96428571428567,40.5,0,0,Sunset window
