deployment_id,deployment_day_id_t,deployment_day_id_t_1,date_t,date_t_1,observation_order_t,day_sequence,window_start,window_end,lag_duration_hours,metrics_complete,temp_data_coverage,wind_data_coverage,butterfly_data_coverage,max_butterflies_t,butterflies_95th_percentile_t,butterflies_top3_mean_t,sum_butterflies_direct_sun_t,time_of_max_t,max_butterflies_t_1,butterflies_95th_percentile_t_1,butterflies_top3_mean_t_1,time_of_max_t_1,temp_max,temp_min,temp_mean,temp_at_max_count_t_1,hours_above_15C,degree_hours_above_15C,wind_avg_sustained,wind_max_gust,wind_gust_sum,wind_gust_sum_above_2ms,wind_gust_hours,wind_minutes_above_2ms,wind_gust_sd,wind_mode_gust,sum_butterflies_direct_sun,days_since_oct15_t,butterfly_diff,butterfly_diff_sqrt,butterfly_diff_sq,butterfly_diff_95th,butterfly_diff_95th_sqrt,butterfly_diff_95th_sq,butterfly_diff_top3,butterfly_diff_top3_sqrt,butterfly_diff_top3_sq,Observer,horizontal_dist_to_cluster_m,grove,view_id
SC1,SC1_20231119,SC1_20231118,2023-11-19,2023-11-18,2,3,2023-11-18T06:30:02Z,2023-11-19T06:30:02Z,24,0.985685343022932,1,0.9993055555555556,0.9583333333333334,21,20.9,20.333333333333332,5,2023-11-19T07:30:01Z,56,55.95,55.666666666666664,2023-11-18T06:30:02Z,18,13,15.602076124567477,16,116.5,118.5,0.8557331480194579,4.9,1862.9000000000003,1299.8,31.04833333333334,455,1.2943919157654606,0,0,35,-35,-5.916079783099616,-1225,-35.050000000000004,-5.920304046246274,-1228.5025000000005,-35.33333333333333,-5.944184833375669,-1248.444444444444,Skyler,4.2,Spring Canyon,1A
SC1,SC1_20231120,SC1_20231119,2023-11-20,2023-11-19,3,4,2023-11-19T07:30:01Z,2023-11-20T07:30:01Z,24,0.970962844034495,1,0.9986111111111112,0.9166666666666666,5,5,5,3,2023-11-20T06:30:01Z,21,20.9,20.333333333333332,2023-11-19T07:30:01Z,21,8,13.328125,11,34,59.5,0.8356745479833102,4.5,2101.7000000000003,865.4,35.028333333333336,498,0.8346795136839147,2,5,36,-16,-4,-256,-15.9,-3.987480407475377,-252.80999999999997,-15.333333333333332,-3.915780041490243,-235.1111111111111,Skyler,4.2,Spring Canyon,1A
SC10,SC10_20240107,SC10_20240106,2024-01-07,2024-01-06,2,3,2024-01-06T16:06:04Z,2024-01-07T16:06:04Z,24,0.985685343022932,1,0.9993055555555556,0.9583333333333334,78,77,74.66666666666667,104,2024-01-07T15:36:04Z,39,29.9,32.333333333333336,2024-01-06T16:06:04Z,19,5,11.213793103448277,13,14,33.5,1.6514246004169564,7,3232.6000000000004,2404.7,53.87666666666667,815,1.263766768679003,1,104,84,39,6.244997998398398,1521,47.1,6.862943974709396,2218.4100000000003,42.333333333333336,6.506407098647712,1792.1111111111113,Emery,7.5,Spring Canyon,2A
SC10,SC10_20240108,SC10_20240107,2024-01-08,2024-01-07,3,4,2024-01-07T15:36:04Z,2024-01-08T15:36:04Z,24,0.970962844034495,1,0.9986111111111112,0.9166666666666666,130,127,128,176,2024-01-08T15:06:04Z,78,77,74.66666666666667,2024-01-07T15:36:04Z,19,3,9.048275862068966,15,15,43,0.7863004172461752,4.7,1597.2,959.6999999999998,26.62,437,1.0688657339437528,0,176,85,52,7.211102550927978,2704,50,7.0710678118654755,2500,53.33333333333333,7.302967433402214,2844.444444444444,Emery,7.5,Spring Canyon,2A
SC10,SC10_20240109,SC10_20240108,2024-01-09,2024-01-08,4,5,2024-01-08T15:06:04Z,2024-01-09T15:06:04Z,24,0.9711878644003804,1,0.9993055555555556,0.9166666666666666,148,145,144.66666666666666,416,2024-01-09T16:36:04Z,130,127,128,2024-01-08T15:06:04Z,19,5,10.179310344827586,18,16,42,0.7550382209867964,3.7,1502.4,660.1,25.040000000000003,330,0.913074061275724,0,416,86,18,4.242640687119285,324,18,4.242640687119285,324,16.666666666666657,4.082482904638629,277.7777777777775,Emery,7.5,Spring Canyon,2A
SC10,SC10_20240110,SC10_20240109,2024-01-10,2024-01-09,5,6,2024-01-09T16:36:04Z,2024-01-10T16:36:04Z,24,0.970962844034495,1,0.9986111111111112,0.9166666666666666,282,180,197,385,2024-01-10T08:36:04Z,148,145,144.66666666666666,2024-01-09T16:36:04Z,18,6,11.46896551724138,13,12,23.5,1.4376216968011128,4.3,2862.1000000000004,1813.8,47.701666666666675,861,0.738868042708215,2,385,87,134,11.575836902790224,17956,35,5.916079783099616,1225,52.33333333333334,7.234178138070236,2738.7777777777787,Emery,7.5,Spring Canyon,2A
SC10,SC10_20240111,SC10_20240110,2024-01-11,2024-01-10,6,7,2024-01-10T08:36:04Z,2024-01-11T08:36:04Z,24,0.970962844034495,1,0.9986111111111112,0.9166666666666666,306,220,245.66666666666663,456,2024-01-11T14:36:04Z,282,180,197,2024-01-10T08:36:04Z,18,5,11.393103448275864,8,12,23.5,2.163977746870654,7.4,4234.7,3706.9,70.57833333333333,1165,1.253064974267989,3,385,88,24,4.898979485566356,576,40,6.324555320336759,1600,48.66666666666666,6.976149845485449,2368.444444444443,Emery,7.5,Spring Canyon,2A
SC10,SC10_20240112,SC10_20240111,2024-01-12,2024-01-11,7,8,2024-01-11T14:36:04Z,2024-01-12T14:36:04Z,24,0.970962844034495,1,0.9986111111111112,0.9166666666666666,770,476.5999999999999,548,387,2024-01-12T16:06:04Z,306,220,245.66666666666663,2024-01-11T14:36:04Z,18,3,8.917241379310346,17,14,30,0.8073713490959666,4.1,1635.8000000000002,578.4000000000001,27.263333333333335,318,0.8337655873740268,1,387,89,464,21.540659228538015,215296,256.5999999999999,16.018739026527648,65843.55999999995,302.33333333333337,17.387735140993303,91405.44444444448,Emery,7.5,Spring Canyon,2A
SC10,SC10_20240113,SC10_20240112,2024-01-13,2024-01-12,8,9,2024-01-12T16:06:04Z,2024-01-13T16:06:04Z,24,0.985685343022932,1,0.9993055555555556,0.9583333333333334,497,420.55,443.3333333333333,1122,2024-01-13T14:36:04Z,770,476.5999999999999,548,2024-01-12T16:06:04Z,21,5,10.63448275862069,13,16,45,0.7761640027797082,3.2,1590.8,740.1999999999999,26.513333333333332,445,0.9917555239049743,0,1122,90,-273,-16.522711641858304,-74529,-56.0499999999999,-7.48665479369791,-3141.6024999999886,-104.66666666666669,-10.230672835481872,-10955.111111111117,Emery,7.5,Spring Canyon,2A
SC10,SC10_20240114,SC10_20240113,2024-01-14,2024-01-13,9,10,2024-01-13T14:36:04Z,2024-01-14T14:36:04Z,24,0.985685343022932,1,0.9993055555555556,0.9583333333333334,500,499,499,0,2024-01-14T08:06:04Z,497,420.55,443.3333333333333,2024-01-13T14:36:04Z,19,8,11.248275862068963,19,4,10.5,0.4501042390548991,2.6,947.2,90.60000000000004,15.786666666666664,66,0.6370349849502737,0,42,91,3,1.7320508075688772,9,78.44999999999999,8.857200460642177,6154.402499999998,55.666666666666686,7.461009761866465,3098.77777777778,Emery,7.5,Spring Canyon,2A
SC10,SC10_20240115,SC10_20240114,2024-01-15,2024-01-14,10,11,2024-01-14T08:06:04Z,2024-01-15T08:06:04Z,24,0.9711878644003804,1,0.9993055555555556,0.9166666666666666,397,283.44999999999993,294,373,2024-01-15T08:26:04Z,500,499,499,2024-01-14T08:06:04Z,14,6,10.755244755244757,10,0,0,0.36435024322446147,2.2,766.6,4.4,12.776666666666667,10,0.5909189743938335,0,0,92,-103,-10.14889156509222,-10609,-215.55000000000007,-14.68162116389059,-46461.80250000003,-205,-14.317821063276352,-42025,Emery,7.5,Spring Canyon,2A
SC10,SC10_20240116,SC10_20240115,2024-01-16,2024-01-15,11,12,2024-01-15T08:26:04Z,2024-01-16T08:26:04Z,24,0.985685343022932,1,0.9993055555555556,0.9583333333333334,79,68.9,71.66666666666667,145,2024-01-16T07:26:04Z,397,283.44999999999993,294,2024-01-15T08:26:04Z,20,7,11.848275862068965,9,16,40.5,0.1924252953439889,2.2,403.1,4.4,6.718333333333334,6,0.517531033842916,0,373,93,-318,-17.832554500127006,-101124,-214.54999999999993,-14.647525388269512,-46031.70249999997,-222.33333333333331,-14.910846164230026,-49432.1111111111,Emery,7.5,Spring Canyon,2A
SC10,SC10_20240117,SC10_20240116,2024-01-17,2024-01-16,12,13,2024-01-16T07:26:04Z,2024-01-17T07:26:04Z,24,0.985685343022932,1,0.9993055555555556,0.9583333333333334,5,4,4.333333333333333,2,2024-01-17T16:26:04Z,79,68.9,71.66666666666667,2024-01-16T07:26:04Z,20,8,12.33793103448276,8,13,39.5,0.2686587908269632,2.2,582.9000000000001,2.2,9.715000000000002,16,0.609939101441787,0,145,94,-74,-8.602325267042627,-5476,-64.9,-8.056053624449133,-4212.010000000001,-67.33333333333334,-8.205689083394114,-4533.777777777779,Emery,7.5,Spring Canyon,2A
SC10,SC10_20240118,SC10_20240117,2024-01-18,2024-01-17,13,14,2024-01-17T16:26:04Z,2024-01-18T16:26:04Z,24,0.985685343022932,1,0.9993055555555556,0.9583333333333334,5,4,4.333333333333333,14,2024-01-18T08:26:04Z,5,4,4.333333333333333,2024-01-17T16:26:04Z,19,6,10.93103448275862,12,18,30.5,0.28471160528144546,4.1,717.3000000000001,145.9,11.955000000000002,84,0.7265272803680726,0,14,95,0,0,0,0,0,0,0,0,0,Emery,7.5,Spring Canyon,2A
SC10,SC10_20240119,SC10_20240118,2024-01-19,2024-01-18,14,15,2024-01-18T08:26:04Z,2024-01-19T08:26:04Z,24,0.985685343022932,1,0.9993055555555556,0.9583333333333334,0,0,0,0,2024-01-19T06:56:04Z,5,4,4.333333333333333,2024-01-18T08:26:04Z,19,8,12.186206896551724,9,18,30.5,0.40840861709520504,4.3,1057,349.29999999999995,17.616666666666667,181,0.8859565238934759,0,14,96,-5,-2.23606797749979,-25,-4,-2,-16,-4.333333333333333,-2.0816659994661326,-18.777777777777775,Emery,7.5,Spring Canyon,2A
SC10,SC10_20240122,SC10_20240121,2024-01-22,2024-01-21,17,18,2024-01-21T06:56:04Z,2024-01-22T06:56:04Z,24,0.985685343022932,1,0.9993055555555556,0.9583333333333334,4,3,3.3333333333333335,0,2024-01-22T12:56:04Z,0,0,0,2024-01-21T06:56:04Z,23,12,15.089655172413794,13,22.5,89,1.7010423905489924,7.2,4050.9,3486.3,67.515,1146,1.191107164213566,2,0,99,4,2,16,3,1.7320508075688772,9,3.3333333333333335,1.8257418583505536,11.111111111111112,Emery,7.5,Spring Canyon,2A
SC10,SC10_20240123,SC10_20240122,2024-01-23,2024-01-22,18,19,2024-01-22T12:56:04Z,2024-01-23T12:56:04Z,24,0.985685343022932,1,0.9993055555555556,0.9583333333333334,357,245.95,282.6666666666667,265,2024-01-23T16:26:04Z,4,3,3.3333333333333335,2024-01-22T12:56:04Z,19,11,12.820689655172414,14,10,20,1.225990271021543,3.4,2404,662.6,40.06666666666667,432,0.4983467619428199,1.5,71,100,353,18.788294228055936,124609,242.95,15.58685343486619,59024.70249999999,279.33333333333337,16.713268182295568,78027.11111111114,Emery,7.5,Spring Canyon,2A
