deployment_id,deployment_day_id_t,deployment_day_id_t_1,date_t,date_t_1,observation_order_t,day_sequence,window_start,window_end,lag_duration_hours,metrics_complete,temp_data_coverage,wind_data_coverage,butterfly_data_coverage,max_butterflies_t,butterflies_95th_percentile_t,butterflies_top3_mean_t,sum_butterflies_direct_sun_t,time_of_max_t,max_butterflies_t_1,butterflies_95th_percentile_t_1,butterflies_top3_mean_t_1,time_of_max_t_1,temp_max_t_1,temp_min_t_1,temp_mean_t_1,temp_at_max_count_t_1,hours_above_15C_t_1,degree_hours_above_15C_t_1,wind_avg_sustained_t_1,wind_max_gust_t_1,wind_gust_sum_t_1,wind_gust_sum_above_2ms_t_1,wind_gust_hours_t_1,wind_minutes_above_2ms_t_1,wind_gust_sd_t_1,wind_mode_gust_t_1,sum_butterflies_direct_sun_t_1,days_since_oct15_t,butterfly_diff,butterfly_diff_cbrt,butterfly_diff_log,butterfly_diff_95th,butterfly_diff_95th_cbrt,butterfly_diff_95th_log,butterfly_diff_top3,butterfly_diff_top3_cbrt,butterfly_diff_top3_log,Observer,horizontal_dist_to_cluster_m,grove,view_id
SC1,SC1_20231119,SC1_20231118,2023-11-19,2023-11-18,2,3,2023-11-18 06:30:02,2023-11-19 17:00:01,34.499722222222225,0.9996805180222758,1.0,0.9990418602404205,1.0,21.0,20.9,20.333333333333332,5.0,2023-11-19 07:30:01,56.0,55.95,55.666666666666664,2023-11-18 06:30:02,21.0,11.0,15.431034482758621,16.0,150.5,178.0,0.7772243713733076,4.9,2686.3,1552.0,44.77166666666667,605,1.1687032885361195,0.0,5.0,35,-35.0,-3.2710663101885897,-3.58351893845611,-35.050000000000004,-3.272623219662218,-3.584906863730958,-35.33333333333333,-3.2814178548547828,-3.592735593561034,Skyler,4.2,Spring Canyon,1A
SC1,SC1_20231120,SC1_20231119,2023-11-20,2023-11-19,3,4,2023-11-19 07:30:01,2023-11-20 17:00:01,33.5,0.9996682149723293,1.0,0.9990049751243781,1.0,5.0,5.0,5.0,3.0,2023-11-20 06:30:01,21.0,20.9,20.333333333333332,2023-11-19 07:30:01,21.0,8.0,13.884,11.0,55.0,106.5,0.94800796812749,6.3,3142.7000000000003,1549.1,52.37833333333334,730,1.0361629572963007,2.0,8.0,36,-16.0,-2.5198420997897464,-2.833213344056216,-15.899999999999999,-2.514581453799839,-2.8273136219290276,-15.333333333333332,-2.484346637906945,-2.793208009442517,Skyler,4.2,Spring Canyon,1A
SC10,SC10_20240107,SC10_20240106,2024-01-07,2024-01-06,2,3,2024-01-06 16:06:04,2024-01-07 17:06:04,25.0,0.999555357878242,1.0,0.9986666666666667,1.0,78.0,77.0,74.66666666666667,104.0,2024-01-07 15:36:04,39.0,29.9,32.333333333333336,2024-01-06 16:06:04,19.0,5.0,11.225165562913908,13.0,14.0,33.5,1.6636849132176235,7.0,3390.3,2558.4,56.505,874,1.2433291044183006,1.0,104.0,84,39.0,3.3912114430141664,3.6888794541139363,47.1,3.6113837181884034,3.8732821771117156,42.333333333333336,3.485198261658764,3.7689221617874726,Emery,7.5,Spring Canyon,2A
SC10,SC10_20240108,SC10_20240107,2024-01-08,2024-01-07,3,4,2024-01-07 15:36:04,2024-01-08 17:06:04,25.5,0.9929878102897239,1.0,0.9986928104575163,0.9803921568627451,130.0,127.0,128.0,176.0,2024-01-08 15:06:04,78.0,77.0,74.66666666666667,2024-01-07 15:36:04,19.0,3.0,9.253246753246753,15.0,15.5,43.0,0.8087041884816752,4.7,1741.8000000000002,982.6999999999998,29.030000000000005,455,1.047573299111369,0.0,176.0,85,52.0,3.7325111568172478,3.970291913552122,50.0,3.6840314986403864,3.9318256327243257,53.33333333333333,3.7641441155241138,3.9951379121386528,Emery,7.5,Spring Canyon,2A
SC10,SC10_20240109,SC10_20240108,2024-01-09,2024-01-08,4,5,2024-01-08 15:06:04,2024-01-09 17:06:04,26.0,0.9997862791129613,1.0,0.9993589743589744,1.0,148.0,145.0,144.66666666666666,416.0,2024-01-09 16:36:04,130.0,127.0,128.0,2024-01-08 15:06:04,19.0,5.0,10.509554140127388,18.0,18.5,46.0,0.8307889672867222,3.8,1801.5,929.9,30.025,442,0.9661104428255691,0.0,416.0,86,18.0,2.6207413942088964,2.9444389791664403,18.0,2.6207413942088964,2.9444389791664403,16.666666666666657,2.5543647746451765,2.8716796248840115,Emery,7.5,Spring Canyon,2A
SC10,SC10_20240110,SC10_20240109,2024-01-10,2024-01-09,5,6,2024-01-09 16:36:04,2024-01-10 17:06:04,24.5,0.9787163063972252,1.0,0.998639455782313,0.9387755102040817,282.0,180.0,197.0,385.0,2024-01-10 08:36:04,148.0,145.0,144.66666666666666,2024-01-09 16:36:04,18.0,6.0,11.45945945945946,13.0,12.0,23.5,1.4444141689373298,4.3,2936.2999999999997,1880.7999999999997,48.938333333333325,888,0.7366674248356396,2.0,385.0,87,134.0,5.117229946912048,4.90527477843843,35.0,3.2710663101885897,3.58351893845611,52.33333333333334,3.740469626875839,3.9765615265657175,Emery,7.5,Spring Canyon,2A
SC10,SC10_20240111,SC10_20240110,2024-01-11,2024-01-10,6,7,2024-01-10 08:36:04,2024-01-11 17:06:04,32.5,0.9996580027093064,1.0,0.9989743589743589,1.0,306.0,220.0,245.66666666666666,456.0,2024-01-11 14:36:04,282.0,180.0,197.0,2024-01-10 08:36:04,18.0,5.0,12.071428571428571,8.0,24.5,44.5,2.003388090349076,7.4,5331.2,4430.6,88.85333333333332,1534,1.1548713946610734,2.0,841.0,88,24.0,2.8844991406148166,3.2188758248682006,40.0,3.4199518933533937,3.713572066704308,48.66666666666666,3.6509890774653457,3.905334017277349,Emery,7.5,Spring Canyon,2A
SC10,SC10_20240112,SC10_20240111,2024-01-12,2024-01-11,7,8,2024-01-11 14:36:04,2024-01-12 17:36:04,27.0,0.9995883078991286,1.0,0.9987654320987654,1.0,770.0,476.5999999999999,548.0,387.0,2024-01-12 16:06:04,306.0,220.0,245.66666666666666,2024-01-11 14:36:04,18.0,3.0,9.447852760736197,17.0,17.0,36.0,0.8608158220024723,4.1,1962.0,659.3999999999999,32.7,393,0.822948074570866,1.0,387.0,89,464.0,7.741753281255592,6.142037405587356,256.5999999999999,6.354560965707688,5.551407994230198,302.33333333333337,6.711640367144318,5.7148323108427865,Emery,7.5,Spring Canyon,2A
SC10,SC10_20240113,SC10_20240112,2024-01-13,2024-01-12,8,9,2024-01-12 16:06:04,2024-01-13 17:36:04,25.5,0.9997820875938852,1.0,0.9993464052287582,1.0,497.0,420.55,443.3333333333333,1122.0,2024-01-13 14:36:04,770.0,476.5999999999999,548.0,2024-01-12 16:06:04,21.0,5.0,10.714285714285714,13.0,16.0,45.0,0.786265533028123,3.2,1712.6999999999998,751.3999999999999,28.544999999999998,451,0.9684281701008317,0.0,1122.0,90,-273.0,-6.48715411671635,-5.6131281063880705,-56.0499999999999,-3.8270006763425437,-4.043928076308083,-104.66666666666669,-4.712696419393292,-4.660289485209171,Emery,7.5,Spring Canyon,2A
SC10,SC10_20240114,SC10_20240113,2024-01-14,2024-01-13,9,10,2024-01-13 14:36:04,2024-01-14 17:06:04,26.5,0.9995805368635385,1.0,0.9987421383647799,1.0,500.0,499.0,499.0,0.0,2024-01-14 08:06:04,497.0,420.55,443.3333333333333,2024-01-13 14:36:04,19.0,8.0,11.36875,19.0,4.0,10.5,0.5014483627204029,2.6,1157.5,95.0,19.291666666666668,75,0.6512569851061706,0.0,42.0,91,3.0,1.4422495703074083,1.3862943611198906,78.44999999999999,4.280859582207425,4.375127892982725,55.666666666666686,3.8182562572811785,4.037186148382152,Emery,7.5,Spring Canyon,2A
