interval_days,anchor_strategy,deployment_id,day_sequence,butterfly_diff_95th_sqrt,butterflies_95th_percentile_t_1,temp_at_max_count_t_1,sum_butterflies_direct_sun_t_1,temp_max_t_1,temp_min_t_1,wind_max_gust_t_1
1,first_to_first,SC1,1,-7.211102550927978,108.0,16.0,0.0,19.0,15.0,5.9
1,last_to_last,SC1,1,-5.291502622129181,51.0,16.0,0.0,18.0,15.0,5.1
1,mid_to_mid,SC1,1,-5.291502622129181,72.0,16.0,0.0,18.0,15.0,5.9
1,max_to_max,SC1,1,-8.06225774829855,121.0,16.0,0.0,18.0,15.0,5.1
1,max_to_sunset,SC1,1,-9.899494936611665,121.0,16.0,0.0,18.0,15.0,5.1
1,first_to_first,SC1,2,-6.708203932499369,56.0,16.0,0.0,18.0,13.0,4.9
1,last_to_last,SC1,2,-4.58257569495584,23.0,16.0,0.0,21.0,11.0,4.5
1,mid_to_mid,SC1,2,-6.164414002968976,44.0,16.0,0.0,18.0,11.0,4.9
1,max_to_max,SC1,2,-5.916079783099616,56.0,16.0,0.0,18.0,11.0,4.9
1,max_to_sunset,SC1,2,-7.3484692283495345,56.0,16.0,0.0,21.0,11.0,4.9
1,first_to_first,SC1,3,-2.449489742783178,11.0,11.0,5.0,21.0,8.0,4.5
1,last_to_last,SC1,3,-1.4142135623730951,2.0,11.0,5.0,20.0,8.0,6.3
1,mid_to_mid,SC1,3,-2.0,6.0,11.0,5.0,21.0,8.0,4.5
1,max_to_max,SC1,3,-4.0,21.0,11.0,5.0,21.0,8.0,4.5
1,max_to_sunset,SC1,3,-4.58257569495584,21.0,11.0,5.0,21.0,8.0,6.3
1,first_to_first,SC1,4,-2.23606797749979,5.0,9.0,3.0,20.0,8.0,6.3
1,last_to_last,SC1,4,0.0,0.0,9.0,3.0,21.0,9.0,3.0
1,mid_to_mid,SC1,4,-1.4142135623730951,2.0,9.0,3.0,21.0,9.0,6.3
1,max_to_max,SC1,4,-2.23606797749979,5.0,9.0,3.0,20.0,8.0,6.3
1,max_to_sunset,SC1,4,-2.23606797749979,5.0,9.0,3.0,21.0,8.0,6.3
1,first_to_first,SC1,5,0.0,0.0,13.0,0.0,21.0,12.0,3.0
1,last_to_last,SC1,5,0.0,0.0,13.0,0.0,22.0,11.0,3.2
1,mid_to_mid,SC1,5,0.0,0.0,13.0,0.0,21.0,11.0,3.2
1,max_to_max,SC1,5,0.0,0.0,13.0,0.0,21.0,12.0,3.0
1,max_to_sunset,SC1,5,0.0,0.0,13.0,0.0,22.0,11.0,3.2
1,first_to_first,SC1,6,0.0,0.0,14.0,0.0,22.0,11.0,3.2
1,last_to_last,SC1,6,0.0,0.0,14.0,0.0,18.0,11.0,5.5
1,mid_to_mid,SC1,6,0.0,0.0,14.0,0.0,22.0,11.0,5.3
1,max_to_max,SC1,6,0.0,0.0,14.0,0.0,22.0,11.0,3.2
1,max_to_sunset,SC1,6,0.0,0.0,14.0,0.0,22.0,11.0,5.5
1,first_to_first,SC1,7,0.0,0.0,12.0,0.0,18.0,11.0,5.5
1,last_to_last,SC1,7,0.0,0.0,12.0,0.0,17.0,7.0,4.5
1,mid_to_mid,SC1,7,0.0,0.0,12.0,0.0,18.0,8.0,5.5
1,max_to_max,SC1,7,0.0,0.0,12.0,0.0,18.0,11.0,5.5
1,max_to_sunset,SC1,7,0.0,0.0,12.0,0.0,18.0,7.0,5.5
1,first_to_first,SC1,8,0.0,0.0,11.0,0.0,17.0,7.0,4.5
1,last_to_last,SC1,8,0.0,0.0,11.0,0.0,19.0,6.0,6.3
1,mid_to_mid,SC1,8,0.0,0.0,11.0,0.0,17.0,6.0,4.5
1,max_to_max,SC1,8,0.0,0.0,11.0,0.0,17.0,7.0,4.5
1,max_to_sunset,SC1,8,0.0,0.0,11.0,0.0,19.0,6.0,6.3
1,first_to_first,SC1,9,0.0,0.0,7.0,0.0,19.0,6.0,6.3
1,last_to_last,SC1,9,0.0,0.0,7.0,0.0,19.0,8.0,3.2
1,mid_to_mid,SC1,9,0.0,0.0,7.0,0.0,19.0,8.0,6.3
1,max_to_max,SC1,9,0.0,0.0,7.0,0.0,19.0,6.0,6.3
1,max_to_sunset,SC1,9,0.0,0.0,7.0,0.0,19.0,6.0,6.3
1,first_to_first,SC1,10,0.0,0.0,11.0,0.0,19.0,8.0,3.2
1,last_to_last,SC1,10,0.0,0.0,11.0,0.0,20.0,8.0,3.4
1,mid_to_mid,SC1,10,0.0,0.0,11.0,0.0,19.0,8.0,3.4
1,max_to_max,SC1,10,0.0,0.0,11.0,0.0,19.0,8.0,3.2
1,max_to_sunset,SC1,10,0.0,0.0,11.0,0.0,20.0,8.0,3.4
1,first_to_first,SC1,11,0.0,0.0,10.0,0.0,20.0,8.0,3.4
1,last_to_last,SC1,11,0.0,0.0,10.0,0.0,18.0,8.0,3.7
1,mid_to_mid,SC1,11,0.0,0.0,10.0,0.0,20.0,8.0,3.7
1,max_to_max,SC1,11,0.0,0.0,10.0,0.0,20.0,8.0,3.4
1,max_to_sunset,SC1,11,0.0,0.0,10.0,0.0,20.0,8.0,3.7
1,first_to_first,SC1,12,0.0,0.0,12.0,0.0,18.0,8.0,3.7
1,last_to_last,SC1,12,0.0,0.0,12.0,0.0,17.0,8.0,5.1
1,mid_to_mid,SC1,12,0.0,0.0,12.0,0.0,18.0,8.0,4.5
1,max_to_max,SC1,12,0.0,0.0,12.0,0.0,18.0,8.0,3.7
1,max_to_sunset,SC1,12,0.0,0.0,12.0,0.0,18.0,8.0,5.1
1,first_to_first,SC1,13,0.0,0.0,9.0,0.0,17.0,9.0,5.1
1,last_to_last,SC1,13,0.0,0.0,9.0,0.0,17.0,10.0,5.9
