"interval_label","anchor_strategy","model_id","formula","n_obs","r_sq","marginal_r2","aic","converged"
"30min","within_day","M1","butterfly_difference_cbrt ~ total_butterflies_t_lag",1745,0.021988658080776,0.0368144448166449,6491.00688412691,TRUE
"30min","within_day","M2","butterfly_difference_cbrt ~ total_butterflies_t_lag + max_gust",1745,0.0208473611758531,0.0380922636091131,6496.8394200077,TRUE
"30min","within_day","M3","butterfly_difference_cbrt ~ total_butterflies_t_lag + temperature_avg",1745,0.0208138002681134,0.0373052082723881,6499.78803934774,TRUE
"30min","within_day","M4","butterfly_difference_cbrt ~ total_butterflies_t_lag + butterflies_direct_sun_t_lag",1745,0.0278807862780439,0.0473459369806201,6484.38914513953,TRUE
"30min","within_day","M5","butterfly_difference_cbrt ~ total_butterflies_t_lag + max_gust + temperature_avg",1745,0.0199383736019304,0.0382718646689828,6505.88469832042,TRUE
"30min","within_day","M6","butterfly_difference_cbrt ~ total_butterflies_t_lag + max_gust + butterflies_direct_sun_t_lag",1745,0.0265961237226312,0.0484075265728058,6490.52754255164,TRUE
"30min","within_day","M7","butterfly_difference_cbrt ~ total_butterflies_t_lag + temperature_avg + butterflies_direct_sun_t_lag",1745,0.0268121569416881,0.047556574810033,6493.5307512295,TRUE
"30min","within_day","M8","butterfly_difference_cbrt ~ total_butterflies_t_lag + max_gust + temperature_avg + butterflies_direct_sun_t_lag",1745,0.0258633436832242,0.0484570408481885,6499.72925168628,TRUE
"30min","within_day","M9","butterfly_difference_cbrt ~ total_butterflies_t_lag + max_gust * temperature_avg",1745,0.0199617514932025,0.0395444646929244,6513.44552249498,TRUE
"30min","within_day","M10","butterfly_difference_cbrt ~ total_butterflies_t_lag + max_gust * butterflies_direct_sun_t_lag",1745,0.0260183615412533,0.0484090984455086,6501.79856519614,TRUE
"30min","within_day","M11","butterfly_difference_cbrt ~ total_butterflies_t_lag + temperature_avg * butterflies_direct_sun_t_lag",1745,0.0270094370158815,0.0481974855106757,6505.90015236941,TRUE
"30min","within_day","M12","butterfly_difference_cbrt ~ total_butterflies_t_lag + max_gust * temperature_avg + butterflies_direct_sun_t_lag",1745,0.0259847563400013,0.0496763859920942,6507.24445918158,TRUE
"30min","within_day","M13","butterfly_difference_cbrt ~ total_butterflies_t_lag + max_gust * butterflies_direct_sun_t_lag + temperature_avg",1745,0.0252809992876324,0.0484593110872249,6510.99778562823,TRUE
"30min","within_day","M14","butterfly_difference_cbrt ~ total_butterflies_t_lag + temperature_avg * butterflies_direct_sun_t_lag + max_gust",1745,0.0260753117357562,0.0491544944796625,6512.04993873973,TRUE
"30min","within_day","M15","butterfly_difference_cbrt ~ total_butterflies_t_lag + max_gust * temperature_avg + max_gust * butterflies_direct_sun_t_lag + temperature_avg * butterflies_direct_sun_t_lag",1745,0.0257442543337351,0.0504564167517831,6530.60389956969,TRUE
"30min","within_day","M16","butterfly_difference_cbrt ~ total_butterflies_t_lag + max_gust * temperature_avg * butterflies_direct_sun_t_lag",1745,0.0357550952397954,0.0601682177546488,6526.15725313163,TRUE
"30min","within_day","M17","butterfly_difference_cbrt ~ s(total_butterflies_t_lag) + s(temperature_avg) + s(butterflies_direct_sun_t_lag)",1745,0.0644672900191698,0.0809928004841499,6445.23902302955,TRUE
"30min","within_day","M18","butterfly_difference_cbrt ~ s(total_butterflies_t_lag) + temperature_avg + s(butterflies_direct_sun_t_lag)",1745,0.0639476993979619,0.0803672543852937,6446.05652410663,TRUE
