interval_minutes,deployment_id,deployment_day,butterfly_difference_cbrt,total_butterflies_t_lag,butterflies_direct_sun_t_lag,time_within_day_t,observation_order_within_day_t,actual_lag_minutes,temperature_avg,max_gust
30,SC10,SC10_20240105,0.0,0.0,0.0,29.966666666666665,1,29.966666666666665,18.0,2.4
30,SC10,SC10_20240105,0.0,0.0,0.0,89.98333333333333,2,30.0,13.0,1.2
30,SC10,SC10_20240106,0.0,0.0,0.0,30.0,1,30.0,5.0,0.7
30,SC10,SC10_20240106,0.0,0.0,0.0,90.0,2,30.0,6.25,0.9
30,SC10,SC10_20240106,0.0,0.0,0.0,150.0,3,30.0,11.5,0.0
30,SC10,SC10_20240106,0.0,0.0,0.0,210.0,4,30.0,15.25,1.3
30,SC10,SC10_20240106,0.0,0.0,0.0,270.0,5,30.0,17.0,1.8
30,SC10,SC10_20240106,1.4422495703074083,1.0,1.0,330.0,6,30.0,16.75,2.0
30,SC10,SC10_20240106,2.802039330655387,3.0,3.0,390.0,7,30.0,16.5,2.0
30,SC10,SC10_20240106,2.2239800905693152,19.0,0.0,450.0,8,30.0,15.0,1.3
30,SC10,SC10_20240106,-1.0,20.0,0.0,510.0,9,30.0,14.25,1.3
30,SC10,SC10_20240106,-2.2239800905693152,39.0,0.0,570.0,10,30.0,13.0,1.2
30,SC10,SC10_20240106,-2.46621207433047,15.0,0.0,630.0166666666667,11,30.016666666666666,12.0,3.7
30,SC10,SC10_20240107,0.0,10.0,0.0,30.0,1,30.0,5.0,1.3
30,SC10,SC10_20240107,-1.7099759466766968,9.0,0.0,90.0,2,30.0,6.5,2.0
30,SC10,SC10_20240107,1.4422495703074083,4.0,2.0,150.0,3,30.0,9.25,1.6
30,SC10,SC10_20240107,-1.4422495703074083,3.0,3.0,210.0,4,30.0,12.25,2.4
30,SC10,SC10_20240107,0.0,0.0,0.0,270.0,5,30.0,15.5,2.8
30,SC10,SC10_20240107,1.4422495703074083,5.0,5.0,330.0,6,30.0,17.0,2.8
30,SC10,SC10_20240107,1.7099759466766968,34.0,34.0,390.0,7,30.0,18.25,2.8
30,SC10,SC10_20240107,-2.6207413942088964,77.0,4.0,450.0,8,30.0,18.5,2.4
30,SC10,SC10_20240107,2.154434690031884,68.0,0.0,510.0,9,30.0,17.0,3.7
30,SC10,SC10_20240107,1.0,68.0,0.0,570.0,10,30.0,12.25,4.1
30,SC10,SC10_20240108,2.080083823051904,60.0,0.0,30.0,1,30.0,3.0,0.0
30,SC10,SC10_20240108,1.912931182772389,61.0,0.0,90.0,2,30.0,3.75,0.0
30,SC10,SC10_20240108,2.7589241763811203,28.0,0.0,150.0,3,30.0,8.75,1.3
30,SC10,SC10_20240108,0.0,46.0,46.0,210.0,4,30.0,12.75,1.6
30,SC10,SC10_20240108,-2.5198420997897464,36.0,36.0,270.0,5,30.0,16.5,2.2
30,SC10,SC10_20240108,-3.361975406798963,47.0,0.0,330.0,6,30.0,18.75,3.2
30,SC10,SC10_20240108,0.0,66.0,2.0,390.0,7,30.0,18.0,2.8
30,SC10,SC10_20240108,3.0365889718756622,80.0,3.0,450.0,8,30.0,18.5,2.6
30,SC10,SC10_20240108,-3.3912114430141664,130.0,0.0,510.0,9,30.0,17.75,2.6
30,SC10,SC10_20240108,0.0,127.0,0.0,570.0,10,30.0,12.5,2.2
30,SC10,SC10_20240109,0.0,109.0,0.0,30.0,1,30.0,5.5,0.0
30,SC10,SC10_20240109,-1.0,109.0,0.0,90.0,2,30.0,6.75,0.0
30,SC10,SC10_20240109,2.8438669798515654,65.0,1.0,150.0,3,30.0,10.75,2.6
30,SC10,SC10_20240109,2.3513346877207573,64.0,64.0,210.0,4,30.0,13.5,2.8
30,SC10,SC10_20240109,2.080083823051904,56.0,56.0,270.0,5,30.0,15.5,2.8
30,SC10,SC10_20240109,-3.0365889718756622,55.0,55.0,330.0,6,30.0,18.0,3.0
30,SC10,SC10_20240109,4.020725758589058,21.0,17.0,390.0,7,30.0,19.0,3.2
30,SC10,SC10_20240109,2.6207413942088964,110.0,0.0,450.0,8,30.0,18.25,3.2
30,SC10,SC10_20240109,-3.1748021039363987,145.0,0.0,510.0,9,30.0,18.0,3.4
30,SC10,SC10_20240109,1.912931182772389,141.0,0.0,570.0,10,30.0,13.5,3.4
30,SC10,SC10_20240110,2.0,120.0,0.0,30.0,1,30.0,7.0,1.2
30,SC10,SC10_20240110,5.6252263283418555,104.0,0.0,90.0,2,30.0,7.75,2.8
30,SC10,SC10_20240110,4.805895533705332,69.0,6.0,150.0,3,30.0,10.5,3.0
30,SC10,SC10_20240110,-2.668401648721945,94.0,94.0,210.0,4,30.0,12.25,3.2
30,SC10,SC10_20240110,-1.4422495703074083,47.0,47.0,270.0,5,30.0,15.5,2.8
30,SC10,SC10_20240110,-2.0,56.0,54.0,330.0,6,30.0,17.5,3.0
30,SC10,SC10_20240110,2.7144176165949063,68.0,10.0,390.0,7,30.0,18.0,3.7
30,SC10,SC10_20240110,2.2239800905693152,88.0,0.0,450.0,8,30.0,17.0,3.7
30,SC10,SC10_20240110,-1.912931182772389,100.0,0.0,510.0,9,30.0,14.25,3.8
30,SC10,SC10_20240110,-2.2894284851066637,129.0,0.0,570.0,10,30.0,12.0,3.8
30,SC10,SC10_20240111,-2.0,109.0,0.0,30.0,1,30.0,6.5,1.6
30,SC10,SC10_20240111,4.687548147653597,86.0,0.0,90.0,2,30.0,6.25,1.2
