deployment_id,view_id,view_id_factor,timestamp,abundance_index_t_minus_1,abundance_index_t,wind_rows_in_window,sustained_minutes_above_2ms,gust_minutes_above_2ms,sunlight_exposure_prop,ambient_temp,labeler
SC1,1,1,2023-11-17T12:30:01Z,108,72,0,0,0,0,18.666666666666668,Skyler
SC1,1,1,2023-11-17T13:00:01Z,72,74,0,0,0,0,17.666666666666668,Skyler
SC1,1,1,2023-11-17T13:30:01Z,74,59,0,0,0,0,17,Skyler
SC1,1,1,2023-11-17T14:00:01Z,59,121,0,0,0,0,16.666666666666668,Skyler
SC1,1,1,2023-11-17T14:30:01Z,121,71,0,0,0,0,16.5,Skyler
SC1,1,1,2023-11-17T15:00:01Z,71,58,0,0,0,0,16.166666666666668,Skyler
SC1,1,1,2023-11-17T15:30:01Z,58,59,0,0,0,0,15.166666666666666,Skyler
SC1,1,1,2023-11-17T16:00:01Z,59,52,0,0,0,0,15,Skyler
SC1,1,1,2023-11-17T16:30:01Z,52,51,0,0,0,0,15,Skyler
SC1,1,1,2023-11-17T17:00:01Z,51,68,0,0,0,0,15,Skyler
SC1,1,1,2023-11-17T17:30:01Z,68,51,0,0,0,0,15.166666666666666,Skyler
SC1,1,1,2023-11-18T07:30:01Z,33,44,30,29,30,0,16.5,Skyler
SC1,1,1,2023-11-18T08:00:01Z,44,55,30,26,30,0,17,Skyler
SC1,1,1,2023-11-18T08:30:01Z,55,51,30,20,30,0,16.833333333333332,Skyler
SC1,1,1,2023-11-18T09:00:01Z,51,42,30,14,28,0,16.666666666666668,Skyler
SC1,1,1,2023-11-18T09:30:01Z,42,48,30,18,29,0,17,Skyler
SC1,1,1,2023-11-18T10:00:01Z,48,46,30,26,30,0,17,Skyler
SC1,1,1,2023-11-18T10:30:01Z,46,46,30,19,30,0,17.666666666666668,Skyler
SC1,1,1,2023-11-18T11:00:01Z,46,56,30,28,30,0,17.833333333333332,Skyler
SC1,1,1,2023-11-18T11:30:01Z,56,40,29,23,29,0,18,Skyler
SC1,1,1,2023-11-18T12:00:01Z,40,47,30,25,30,0,17.666666666666668,Skyler
SC1,1,1,2023-11-18T12:30:01Z,47,44,30,17,28,0,18,Skyler
SC1,1,1,2023-11-18T13:00:01Z,44,28,30,15,29,0,18,Skyler
SC1,1,1,2023-11-18T14:30:01Z,41,42,30,9,24,0,17.833333333333332,Skyler
SC1,1,1,2023-11-18T15:00:01Z,42,3,30,17,29,0,17,Skyler
SC1,1,1,2023-11-18T15:30:01Z,3,21,30,29,30,0,15.666666666666666,Skyler
SC1,1,1,2023-11-18T16:00:01Z,21,16,30,21,30,0,15.333333333333334,Skyler
SC1,1,1,2023-11-18T16:30:01Z,16,22,30,17,30,0,15,Skyler
SC1,1,1,2023-11-18T17:00:01Z,22,23,30,5,20,0,15,Skyler
SC1,1,1,2023-11-19T07:00:01Z,11,14,30,0,0,0,12.166666666666666,Skyler
SC1,1,1,2023-11-19T07:30:01Z,14,21,30,0,0,0,11.5,Skyler
SC1,1,1,2023-11-19T08:00:01Z,21,13,30,0,0,0.23076923076923078,11.666666666666666,Skyler
SC1,1,1,2023-11-19T08:30:01Z,13,12,30,0,0,0,12,Skyler
SC1,1,1,2023-11-19T09:00:01Z,12,21,30,0,0,0,12.5,Skyler
SC1,1,1,2023-11-19T09:30:01Z,21,19,30,0,0,0,13,Skyler
SC1,1,1,2023-11-19T10:00:01Z,19,14,30,0,0,0,13.666666666666666,Skyler
SC1,1,1,2023-11-19T10:30:01Z,14,10,30,0,0,0,14,Skyler
SC1,1,1,2023-11-19T11:00:01Z,10,9,30,0,0,0.2222222222222222,15.333333333333334,Skyler
SC1,1,1,2023-11-19T11:30:01Z,9,8,30,0,0,0,16,Skyler
SC1,1,1,2023-11-19T12:00:01Z,8,7,30,0,0,0,16.666666666666668,Skyler
SC1,1,1,2023-11-19T12:30:01Z,7,6,30,0,0,0,16.833333333333332,Skyler
SC1,1,1,2023-11-19T13:00:01Z,6,4,30,0,0,0,17,Skyler
SC1,1,1,2023-11-19T13:30:01Z,4,4,30,0,0,0,17,Skyler
SC1,1,1,2023-11-19T14:00:01Z,4,0,30,0,0,NA,17.666666666666668,Skyler
SC1,1,1,2023-11-19T14:30:01Z,0,1,30,0,0,0,17.666666666666668,Skyler
SC1,1,1,2023-11-19T15:00:01Z,1,0,30,0,2,NA,17,Skyler
SC1,1,1,2023-11-19T16:00:01Z,0,2,30,0,18,0,17.666666666666668,Skyler
SC1,1,1,2023-11-19T16:30:01Z,2,3,30,0,12,0,17,Skyler
SC1,1,1,2023-11-19T17:00:01Z,3,2,30,0,6,0,15,Skyler
SC1,1,1,2023-11-20T07:00:01Z,5,4,30,0,9,0,9,Skyler
SC1,1,1,2023-11-20T08:30:01Z,2,3,30,0,1,0,11,Skyler
SC1,1,1,2023-11-20T09:00:01Z,3,3,30,4,16,0,12.333333333333334,Skyler
SC1,1,1,2023-11-20T09:30:01Z,3,4,30,9,29,0,13.666666666666666,Skyler
SC1,1,1,2023-11-20T10:00:01Z,4,5,30,1,12,0,15,Skyler
SC1,1,1,2023-11-20T10:30:01Z,5,3,30,0,0,0,15.666666666666666,Skyler
SC1,1,1,2023-11-20T11:00:01Z,3,5,30,0,3,0,16.666666666666668,Skyler
SC1,1,1,2023-11-20T11:30:01Z,5,2,30,2,20,0,17.666666666666668,Skyler
SC1,1,1,2023-11-20T12:00:01Z,2,2,30,5,24,0,18.666666666666668,Skyler
SC1,1,1,2023-11-20T12:30:01Z,2,2,30,0,17,0,19.333333333333332,Skyler
SC1,1,1,2023-11-20T13:00:01Z,2,1,30,0,4,1,20,Skyler
SC1,1,1,2023-11-20T13:30:01Z,1,0,30,0,0,NA,19.666666666666668,Skyler
SC10,2,2,2024-01-06T12:06:04Z,0,1,0,0,0,1,16.666666666666668,Emery
SC10,2,2,2024-01-06T12:36:04Z,1,4,0,0,0,1,16.666666666666668,Emery
SC10,2,2,2024-01-06T13:06:04Z,4,3,0,0,0,1,17,Emery
SC10,2,2,2024-01-06T13:36:04Z,3,25,0,0,0,0,16.333333333333332,Emery
SC10,2,2,2024-01-06T14:06:04Z,25,19,0,0,0,0,15.666666666666666,Emery
SC10,2,2,2024-01-06T14:36:04Z,19,30,0,0,0,0,15,Emery
SC10,2,2,2024-01-06T15:06:04Z,30,20,0,0,0,0,15,Emery
SC10,2,2,2024-01-06T15:36:04Z,20,19,0,0,0,0,14,Emery
SC10,2,2,2024-01-06T16:06:04Z,19,39,0,0,0,0,13.666666666666666,Emery
SC10,2,2,2024-01-06T16:36:04Z,39,28,0,0,0,0,13,Emery
SC10,2,2,2024-01-06T17:06:04Z,28,15,0,0,0,0,12,Emery
SC10,2,2,2024-01-07T07:36:04Z,10,10,0,0,0,0,5,Emery
SC10,2,2,2024-01-07T08:06:04Z,10,9,0,0,0,0,5.333333333333333,Emery
SC10,2,2,2024-01-07T08:36:04Z,9,4,0,0,0,0,6.666666666666667,Emery
SC10,2,2,2024-01-07T09:06:04Z,4,4,0,0,0,0.5,8.333333333333334,Emery
SC10,2,2,2024-01-07T09:36:04Z,4,7,0,0,0,1,9.666666666666666,Emery
SC10,2,2,2024-01-07T10:06:04Z,7,3,0,0,0,1,11.333333333333334,Emery
SC10,2,2,2024-01-07T12:06:04Z,0,5,0,0,0,1,16.333333333333332,Emery
SC10,2,2,2024-01-07T12:36:04Z,5,8,0,0,0,1,17,Emery
SC10,2,2,2024-01-07T13:06:04Z,8,34,0,0,0,1,18,Emery
SC10,2,2,2024-01-07T13:36:04Z,34,39,0,0,0,1,18.333333333333332,Emery
SC10,2,2,2024-01-07T14:06:04Z,39,77,0,0,0,0.05194805194805195,18.333333333333332,Emery
SC10,2,2,2024-01-07T14:36:04Z,77,59,0,0,0,0.03389830508474576,18.666666666666668,Emery
SC10,2,2,2024-01-07T15:06:04Z,59,68,0,0,0,0,18.333333333333332,Emery
SC10,2,2,2024-01-07T15:36:04Z,68,78,0,0,0,0,16.666666666666668,Emery
SC10,2,2,2024-01-07T16:06:04Z,78,68,0,0,0,0,13.333333333333334,Emery
SC10,2,2,2024-01-07T16:36:04Z,68,69,0,0,0,0,12,Emery
SC10,2,2,2024-01-07T17:06:04Z,69,58,0,0,0,0,11,Emery
SC10,2,2,2024-01-08T07:36:04Z,60,69,0,0,0,0,3,Emery
SC10,2,2,2024-01-08T08:06:04Z,69,61,0,0,0,0,3,Emery
SC10,2,2,2024-01-08T08:36:04Z,61,68,0,0,0,0,4,Emery
SC10,2,2,2024-01-08T09:06:04Z,68,28,0,0,0,0,6.333333333333333,Emery
SC10,2,2,2024-01-08T09:36:04Z,28,49,0,0,0,0.14285714285714285,9.333333333333334,Emery
SC10,2,2,2024-01-08T10:06:04Z,49,46,0,0,0,1,11.666666666666666,Emery
SC10,2,2,2024-01-08T10:36:04Z,46,46,0,0,0,1,13,Emery
SC10,2,2,2024-01-08T11:06:04Z,46,36,0,0,0,1,15,Emery
SC10,2,2,2024-01-08T11:36:04Z,36,20,0,0,0,1,16.666666666666668,Emery
SC10,2,2,2024-01-08T12:06:04Z,20,47,0,0,0,0,18.333333333333332,Emery
SC10,2,2,2024-01-08T12:36:04Z,47,9,0,0,0,1,19,Emery
SC10,2,2,2024-01-08T13:06:04Z,9,66,0,0,0,0.030303030303030304,18.333333333333332,Emery
SC10,2,2,2024-01-08T13:36:04Z,66,66,0,0,0,0.06060606060606061,18,Emery
SC10,2,2,2024-01-08T14:06:04Z,66,80,0,0,0,0.0375,18,Emery
SC10,2,2,2024-01-08T14:36:04Z,80,108,0,0,0,0.027777777777777776,18.666666666666668,Emery
SC10,2,2,2024-01-08T15:06:04Z,108,130,0,0,0,0,18.666666666666668,Emery
SC10,2,2,2024-01-08T15:36:04Z,130,91,0,0,0,0,17.666666666666668,Emery
SC10,2,2,2024-01-08T16:06:04Z,91,127,0,0,0,0,14,Emery
SC10,2,2,2024-01-08T16:36:04Z,127,127,0,0,0,0,12.333333333333334,Emery
SC10,2,2,2024-01-08T17:06:04Z,127,110,0,0,0,0,11.333333333333334,Emery
SC10,2,2,2024-01-09T07:36:04Z,109,109,0,0,0,0,5.666666666666667,Emery
SC10,2,2,2024-01-09T08:06:04Z,109,109,0,0,0,0,6,Emery
SC10,2,2,2024-01-09T08:36:04Z,109,108,0,0,0,0,7,Emery
SC10,2,2,2024-01-09T09:06:04Z,108,65,0,0,0,0.015384615384615385,9,Emery
SC10,2,2,2024-01-09T09:36:04Z,65,88,0,0,0,0.045454545454545456,11,Emery
SC10,2,2,2024-01-09T10:06:04Z,88,64,0,0,0,1,13,Emery
SC10,2,2,2024-01-09T10:36:04Z,64,77,0,0,0,1,13.666666666666666,Emery
SC10,2,2,2024-01-09T11:06:04Z,77,56,0,0,0,1,15.333333333333334,Emery
SC10,2,2,2024-01-09T11:36:04Z,56,65,0,0,0,1,15.333333333333334,Emery
SC10,2,2,2024-01-09T12:06:04Z,65,55,0,0,0,1,17,Emery
SC10,2,2,2024-01-09T12:36:04Z,55,27,0,0,0,1,18,Emery
SC10,2,2,2024-01-09T13:06:04Z,27,21,0,0,0,0.8095238095238095,19,Emery
SC10,2,2,2024-01-09T13:36:04Z,21,86,0,0,0,0.5232558139534884,19,Emery
SC10,2,2,2024-01-09T14:06:04Z,86,110,0,0,0,0,18,Emery
SC10,2,2,2024-01-09T14:36:04Z,110,128,0,0,0,0.0390625,18.666666666666668,Emery
SC10,2,2,2024-01-09T15:06:04Z,128,145,0,0,0,0,19,Emery
SC10,2,2,2024-01-09T15:36:04Z,145,113,0,0,0,0,17.666666666666668,Emery
SC10,2,2,2024-01-09T16:06:04Z,113,141,0,0,0,0,14.666666666666666,Emery
SC10,2,2,2024-01-09T16:36:04Z,141,148,0,0,0,0,13.333333333333334,Emery
SC10,2,2,2024-01-09T17:06:04Z,148,132,0,0,0,0,12.333333333333334,Emery
SC10,2,2,2024-01-10T07:36:04Z,120,128,0,0,0,0,7,Emery
SC10,2,2,2024-01-10T08:06:04Z,128,104,0,0,0,0,7,Emery
SC10,2,2,2024-01-10T08:36:04Z,104,282,0,0,0,0.03900709219858156,8,Emery
SC10,2,2,2024-01-10T09:06:04Z,282,69,0,0,0,0.08695652173913043,9.666666666666666,Emery
SC10,2,2,2024-01-10T09:36:04Z,69,180,0,0,0,0.2222222222222222,10.666666666666666,Emery
SC10,2,2,2024-01-10T10:06:04Z,180,94,0,0,0,1,12,Emery
SC10,2,2,2024-01-10T10:36:04Z,94,75,0,0,0,1,12.333333333333334,Emery
SC10,2,2,2024-01-10T11:06:04Z,75,47,0,0,0,1,14.333333333333334,Emery
SC10,2,2,2024-01-10T11:36:04Z,47,44,0,0,0,1,15.666666666666666,Emery
SC10,2,2,2024-01-10T12:06:04Z,44,56,0,0,0,0.9642857142857143,16.666666666666668,Emery
SC10,2,2,2024-01-10T12:36:04Z,56,48,0,0,0,0.08333333333333333,17.666666666666668,Emery
SC10,2,2,2024-01-10T13:06:04Z,48,68,0,0,0,0.14705882352941177,18,Emery
SC10,2,2,2024-01-10T13:36:04Z,68,88,0,0,0,0,18,Emery
SC10,2,2,2024-01-10T14:06:04Z,88,88,0,0,0,0,17.333333333333332,Emery
SC10,2,2,2024-01-10T14:36:04Z,88,99,0,0,0,0,17,Emery
SC10,2,2,2024-01-10T15:06:04Z,99,100,0,0,0,0,14.666666666666666,Emery
